이름,주소,전화번호,번호구분,위도,경도,이미지URL,비고
이승만별장(고성),강원특별자치도 고성군 현내면 화진포길 280,033-680-3677,개별 문의처,38.47103848,128.4363116,http://tong.visitkorea.or.kr/cms/resource/01/2600601_image2_1.jpg,
자작도해변,강원특별자치도 고성군 죽왕면 자작도선사길,033-680-3362,지자체 대표번호,38.30957092,128.5424495,http://tong.visitkorea.or.kr/cms/resource/87/181587_image2_1.jpg,
장신유원지,강원특별자치도 고성군 간성읍 소똥령마을길 32,033-680-3354,개별 문의처,38.33049763,128.3783976,http://tong.visitkorea.or.kr/cms/resource/02/1955702_image2_1.jpg,
"죽정분교(구,죽정초등학교)",강원특별자치도 고성군 현내면 모정2길 2,033-680-3356,지자체 대표번호,38.47036978,128.4197356,,
진부령,강원특별자치도 고성군 간성읍 진부리,033-680-3677,지자체 대표번호,38.29889564,128.3437643,http://tong.visitkorea.or.kr/cms/resource/31/2616531_image2_1.bmp,
진부령 흘리마을,강원특별자치도 고성군 간성읍 흘리길 185,070-8849-7014,개별 문의처,38.26484585,128.3740824,http://tong.visitkorea.or.kr/cms/resource/01/217601_image2_1.jpg,"추가연락가능번호 : 031-940-5282, 031-940-5283"
진부리 마을관리휴양지,강원특별자치도 고성군 간성읍 진부리 133,033-680-3677,개별 문의처,38.29327871,128.3639476,http://tong.visitkorea.or.kr/cms/resource/50/2715750_image2_1.jpg,
천진항,강원특별자치도 고성군 토성면 천진해변길 46,033-680-3362,지자체 대표번호,38.26060261,128.5604652,,
천진해변,강원특별자치도 고성군 토성면,033-680-3362,지자체 대표번호,38.2572897,128.5589065,http://tong.visitkorea.or.kr/cms/resource/80/175280_image2_1.jpg,
천학정/문암포구,강원특별자치도 고성군 토성면 동해대로 5110,033-631-8722,지자체 대표번호,38.26439877,128.5583736,http://tong.visitkorea.or.kr/cms/resource/16/175216_image2_1.jpg,
청간정,강원특별자치도 고성군 토성면 동해대로 5110,033-631-8722,지자체 대표번호,38.26439877,128.5583736,http://tong.visitkorea.or.kr/cms/resource/16/175216_image2_1.jpg,
청간해변,강원특별자치도 고성군 토성면 청간리,033-680-3362,지자체 대표번호,38.26698306,128.551792,http://tong.visitkorea.or.kr/cms/resource/33/175233_image2_1.jpg,
초도마을,강원특별자치도 고성군 현내면 초도항길 60,033-681-5281,개별 문의처,38.48520118,128.4384801,http://tong.visitkorea.or.kr/cms/resource/26/1813626_image2_1.jpg,
초도항,강원특별자치도 고성군 현내면 초도리,033-680-3362,지자체 대표번호,38.48553457,128.4273876,,
초도해변,강원특별자치도 고성군 현내면 초도항길,033-680-3362,지자체 대표번호,38.4869367,128.4365701,http://tong.visitkorea.or.kr/cms/resource/63/175263_image2_1.jpg,
카페 테일,강원특별자치도 고성군 죽왕면 가진길 40-5,033-682-1055,개별 문의처,38.37224254,128.5088417,http://tong.visitkorea.or.kr/cms/resource/80/2592980_image2_1.jpg,
켄싱턴해변,강원특별자치도 고성군 토성면 동해대로 4800,033-680-3356,개별 문의처,38.24359084,128.5725989,,
라베니체 마치에비뉴,경기도 김포시 장기동,031-980-2114,지자체 대표번호,37.63972524,126.6713594,,
하늬라벤더팜,강원특별자치도 고성군 간성읍 꽃대마을길 175,033-681-0005,개별 문의처,38.34881363,128.4145057,http://tong.visitkorea.or.kr/cms/resource/58/2549758_image2_1.jpg,
함정균가옥,강원특별자치도 고성군 죽왕면 왕곡마을길 52,033-680-3366,지자체 대표번호,38.34132245,128.4986134,http://tong.visitkorea.or.kr/cms/resource/93/2713593_image2_1.jpg,
화암사(고성),강원특별자치도 고성군 토성면 화암사길 100,033-633-1525,개별 문의처,38.22629363,128.4711945,http://tong.visitkorea.or.kr/cms/resource/98/217598_image2_1.jpg,
토성민속마을,강원특별자치도 철원군 갈말읍 토성길 98,033-455-1204,지자체 대표번호,38.24492512,127.3430955,,
화진포(화진포호),강원특별자치도 고성군 거진읍,033-680-3677,개별 문의처,38.43613916,128.4525538,http://tong.visitkorea.or.kr/cms/resource/67/174967_image2_1.jpg,
화진포소나무숲산림욕장,강원특별자치도 고성군 거진읍 화진포길 258-115,033-680-3677,개별 문의처,38.46869896,128.4446303,http://tong.visitkorea.or.kr/cms/resource/21/2786621_image2_1.jpg,
화진포해수욕장,강원특별자치도 고성군 현내면 화진포길 386,033-680-3677,개별 문의처,38.47839396,128.4374882,http://tong.visitkorea.or.kr/cms/resource/88/2653288_image2_1.jpg,
㈜강원심층수,강원특별자치도 고성군 죽왕면 심층수길 124-19,033-638-9900,개별 문의처,38.32960734,128.5272889,http://tong.visitkorea.or.kr/cms/resource/75/2360775_image2_1.jpg,
걸포중앙공원,경기도 김포시 걸포로 80-46,031-980-2974,개별 문의처,37.63942063,126.7030358,,
경인아라뱃길유람선 현대크루즈호,경기도 김포시 고촌읍 아라육로270번길 74,032-882-5555,개별 문의처,37.59765527,126.78697,http://tong.visitkorea.or.kr/cms/resource/76/2377576_image2_1.jpeg,
금정사(김포),경기도 김포시 승가로 125,031-984-3235,개별 문의처,37.60742285,126.7085469,,
김포 대명항,경기도 김포시 대명항1로 109,031-987-2983,개별 문의처,37.63938197,126.5417355,,
김포 덕포진,경기도 김포시 대곶면 덕포진로103번길 130,031-989-9794,개별 문의처,37.649763,126.5366536,http://tong.visitkorea.or.kr/cms/resource/60/1591760_image2_1.jpg,
김포 문수산성,경기도 김포시 월곶면 포내리,031-980-2965,지자체 대표번호,37.72216581,126.5347665,,
김포 사색의 길,경기도 김포시 김포한강11로 455,031-980-2114,지자체 대표번호,37.65478247,126.6993509,http://tong.visitkorea.or.kr/cms/resource/10/2653110_image2_1.bmp,
김포 수안산성,경기도 김포시 대곶면 율생리,031-980-2483,지자체 대표번호,37.64743116,126.5898721,,
김포 장릉(인헌왕후),경기도 김포시 장릉로 79,031-984-2897,개별 문의처,37.6107519,126.7126583,http://tong.visitkorea.or.kr/cms/resource/42/2640342_image2_1.jpg,
김포국제조각공원,경기도 김포시 월곶면 용강로13번길 38,031-999-3916,개별 문의처,37.72080378,126.552204,,
김포레코파크,경기도 김포시 감암로 127,031-980-5300,개별 문의처,37.64290394,126.7093791,http://tong.visitkorea.or.kr/cms/resource/72/2736572_image2_1.jpg,추가연락가능번호 : 033-480-2230(양구군청)
김포한강야생조류생태공원,경기도 김포시 김포한강11로 455,1661-9408,개별 문의처,37.65478247,126.6993509,http://tong.visitkorea.or.kr/cms/resource/10/2653110_image2_1.bmp,
김포함상공원,경기도 김포시 대곶면 대명항1로 110-36,031-987-4097,개별 문의처,37.64252707,126.5473288,http://tong.visitkorea.or.kr/cms/resource/51/2396851_image2_1.jpg,
김포향교,경기도 김포시 북변중로25번길 38,031-980-2483,지자체 대표번호,37.62465111,126.7095613,http://tong.visitkorea.or.kr/cms/resource/91/1591691_image2_1.jpg,
대포서원(김포),경기도 김포시 양촌읍 황금로23번길 30-32,031-980-2483,지자체 대표번호,37.61361033,126.628043,,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
마송중앙공원,경기도 김포시 마송공원길 50,031-5186-4630,지자체 대표번호,37.6865857,126.5986673,http://tong.visitkorea.or.kr/cms/resource/91/2853091_image2_1.jpg,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
모담공원,경기도 김포시 전원로 43,031-980-5638,지자체 대표번호,37.64795828,126.6847207,http://tong.visitkorea.or.kr/cms/resource/30/2854730_image2_1.jpg,
문수산,경기도 김포시 월곶면 문수산로 90-19,031-988-2965,개별 문의처,37.75143295,126.5344937,http://tong.visitkorea.or.kr/cms/resource/59/2736559_image2_1.jpg,
문수산산림욕장,경기도 김포시 월곶면 문수산로 102-38,031-988-2965,개별 문의처,37.75143295,126.5344937,http://tong.visitkorea.or.kr/cms/resource/55/1589355_image2_1.jpg,
뱃길조각공원,경기도 김포시 고촌읍 신곡리,031-980-5985,지자체 대표번호,37.60129262,126.7740174,http://tong.visitkorea.or.kr/cms/resource/02/2855202_image2_1.jpg,
북변동 올드타운,경기도 김포시 북변중로65번길,031-980-2114,지자체 대표번호,37.62584267,126.7105162,http://tong.visitkorea.or.kr/cms/resource/68/2638768_image2_1.bmp,
서암체육공원,경기도 김포시 통진읍 검암2로 55,031-981-1644,개별 문의처,37.70445265,126.5959202,http://tong.visitkorea.or.kr/cms/resource/52/2773852_image2_1.png,
아라김포여객터미널,경기도 김포시 고촌읍 아라육로270번길 74,032-882-5555,개별 문의처,37.59765527,126.78697,http://tong.visitkorea.or.kr/cms/resource/76/2377576_image2_1.jpeg,
애기봉평화생태공원,경기도 김포시 하성면 평화공원로 139,031-989-7492,개별 문의처,37.74325099,126.5940678,,
용화사(김포),경기도 김포시 금포로 1487-5,031-984-3234,개별 문의처,37.64202628,126.7185116,,
우저서원,경기도 김포시 중봉로25번길 87,031-980-2483,지자체 대표번호,37.62671584,126.6939243,http://tong.visitkorea.or.kr/cms/resource/97/1591697_image2_1.jpg,
월곶면민만세운동유적비,경기도 김포시 월곶면 김포대로 2857-39,031-980-2483,지자체 대표번호,37.66173531,126.6638307,http://tong.visitkorea.or.kr/cms/resource/70/755170_image2_1.jpg,
은여울공원,경기도 김포시 김포한강8로 97,031-5186-4627,지자체 대표번호,37.63386828,126.63874,http://tong.visitkorea.or.kr/cms/resource/02/2781802_image2_1.jpeg,"추가연락가능번호 : 031-940-5282, 031-940-5283"
조강저수지,경기도 김포시 월곶면 조강리,031-980-2114,지자체 대표번호,37.75163851,126.5729578,http://tong.visitkorea.or.kr/cms/resource/47/2781947_image2_1.jpg,
태산패밀리파크,경기도 김포시 하성면 하성로 585,031-997-6868,개별 문의처,37.72436612,126.6301228,http://tong.visitkorea.or.kr/cms/resource/13/1591713_image2_1.jpg,
통진향교,경기도 김포시 월곶면 군하로 288-21,031-980-2483,지자체 대표번호,37.70919397,126.5583797,,
피싱파크 진산각,경기도 김포시 중봉로33번길 174,031-982-1500,개별 문의처,37.62656518,126.6897796,,
포충사(철원),강원특별자치도 철원군 철원읍 화지리,033-450-5151,지자체 대표번호,38.22381303,127.2110937,,
한강신도시호수공원,경기도 김포시 김포한강8로 302,031-980-5638,지자체 대표번호,37.64518843,126.6350124,http://tong.visitkorea.or.kr/cms/resource/59/2781959_image2_1.jpeg,
한강중앙공원,경기도 김포시 초당로 40,031-5186-4639,지자체 대표번호,37.64223199,126.6738412,http://tong.visitkorea.or.kr/cms/resource/83/2781983_image2_1.jpeg,
한재당,경기도 김포시 하성면 가금로111번길 107,031-980-2483,지자체 대표번호,37.74815164,126.608598,http://tong.visitkorea.or.kr/cms/resource/26/1591726_image2_1.jpg,
광치계곡,강원특별자치도 양구군 남면,033-482-3115,개별 문의처,38.10847813,128.03457,http://tong.visitkorea.or.kr/cms/resource/77/2566477_image2_1.jpg,
국토정중앙천문대,강원특별자치도 양구군 국토정중앙면 국토정중앙로 127,033-480-7257,개별 문의처,38.06783774,128.0322904,http://tong.visitkorea.or.kr/cms/resource/46/1583246_image2_1.jpg,
도솔산 해병대전투전적지,강원특별자치도 양구군 해안면,033-480-2251,지자체 대표번호,38.28516849,128.1371247,,
두무리산촌생태마을,강원특별자치도 양구군 국토정중앙면 두무리 산12,033-481-9952,개별 문의처,38.05815495,128.06418,http://tong.visitkorea.or.kr/cms/resource/23/2793223_image2_1.jpg,
두타연 (국가지질공원),강원특별자치도 양구군 방산면 두타연로 297,033-480-7266,개별 문의처,38.24674658,127.9816847,http://tong.visitkorea.or.kr/cms/resource/15/2668215_image2_1.jpg,
두타연 평화누리길,강원특별자치도 양구군 방산면,033-480-2251,지자체 대표번호,38.20906119,127.9493891,http://tong.visitkorea.or.kr/cms/resource/53/2953253_image2_1.jpg,
백석산지구 전투전적비,강원특별자치도 양구군 방산면 송현리 233,033-480-2251,지자체 대표번호,38.22979752,127.9615282,http://tong.visitkorea.or.kr/cms/resource/48/2668048_image2_1.jpg,
비봉산(양구),강원특별자치도 양구군 양구읍,033-480-2251,지자체 대표번호,38.10804053,127.9904304,,
사명산,강원특별자치도 양구군 양구읍 월명리,033-480-2251,지자체 대표번호,38.10360445,127.9241034,http://tong.visitkorea.or.kr/cms/resource/96/2566496_image2_1.jpg,
산양증식복원센터,강원특별자치도 양구군 동면 펀치볼로 266-60,033-480-2665,개별 문의처,38.24930406,128.0965773,,
소양호(양구),강원특별자치도 양구군 양구읍 석현리,033-480-2251,지자체 대표번호,38.04103041,127.9695195,http://tong.visitkorea.or.kr/cms/resource/71/176171_image2_1.jpg,
소지섭길,강원특별자치도 양구군 방산면 두타연로 8,033-480-2251,지자체 대표번호,38.22685762,127.9837077,http://tong.visitkorea.or.kr/cms/resource/03/2566503_image2_1.jpg,
수입천(하천),강원특별자치도 양구군 방산면 건솔리,033-480-2251,지자체 대표번호,38.26972598,127.9799889,http://tong.visitkorea.or.kr/cms/resource/70/172170_image2_1.jpg,
양구 국토정중앙배꼽마을,강원특별자치도 양구군 남면 봉화산로 425,033-481-2011,개별 문의처,38.07177712,128.0231636,http://tong.visitkorea.or.kr/cms/resource/69/2494869_image2_1.jpg,
양구 수목원,강원특별자치도 양구군 동면 숨골로310번길 131,033-480-7391,개별 문의처,38.18997415,128.0740303,,
양구 펀치볼마을,강원특별자치도 양구군 해안면 동막동길 50-3,033-481-2648,개별 문의처,38.29370147,128.1197529,http://tong.visitkorea.or.kr/cms/resource/22/1841522_image2_1.jpg,
양구 해시계,강원특별자치도 양구군 양구읍 중앙길 53,033-480-2251,지자체 대표번호,38.10505969,127.9893395,http://tong.visitkorea.or.kr/cms/resource/73/2566573_image2_1.jpg,
양구군민공원,강원특별자치도 양구군 양구읍 양남로7번길 13,033-481-2191,개별 문의처,38.10607614,127.9909658,http://tong.visitkorea.or.kr/cms/resource/21/2566521_image2_1.jpg,
양구근현대사박물관,강원특별자치도 양구군 양구읍 금강산로 439-51,033-480-7221,개별 문의처,38.16335848,128.0132597,http://tong.visitkorea.or.kr/cms/resource/31/2566531_image2_1.jpg,
양구꽃섬,강원특별자치도 양구군 양구읍 함춘로 116,033-480-7381,개별 문의처,38.11831682,127.9890125,http://tong.visitkorea.or.kr/cms/resource/02/2921402_image2_1.jpg,
양구돌산령지게놀이 전수관,강원특별자치도 양구군 양구읍 비봉로 69,033-480-2251,지자체 대표번호,38.10818256,127.9869125,http://tong.visitkorea.or.kr/cms/resource/41/2566541_image2_1.jpg,
양구백토,강원특별자치도 양구군 방산면 평화로 5182,033-480-2655,개별 문의처,38.20727018,127.9514018,http://tong.visitkorea.or.kr/cms/resource/19/2616519_image2_1.bmp,
양구향교,강원특별자치도 양구군 양구읍 관공서로16번길 5-4,033-480-2251,지자체 대표번호,38.10749577,127.991134,http://tong.visitkorea.or.kr/cms/resource/90/172190_image2_1.jpg,추가연락가능번호 : 033-480-2230(양구군청)
오미마을,강원특별자치도 양구군 방산면 평화로 4818,033-481-6403,개별 문의처,38.18857473,127.922775,http://tong.visitkorea.or.kr/cms/resource/49/2632949_image2_1.bmp,
용머리 공원,강원특별자치도 양구군 양구읍,033-480-2251,지자체 대표번호,38.10804053,127.9904304,,
을지전망대,강원특별자치도 양구군 해안면 후리 621,033-480-2251,지자체 대표번호,38.2901903,128.1453595,http://tong.visitkorea.or.kr/cms/resource/91/2659891_image2_1.jpg,
전기필불망비,강원특별자치도 양구군 남면,033-480-2251,지자체 대표번호,38.10847813,128.03457,http://tong.visitkorea.or.kr/cms/resource/77/2566477_image2_1.jpg,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
제4땅굴,강원특별자치도 양구군 해안면 이현리,033-480-2251,지자체 대표번호,38.3093359,128.1278343,,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
직연폭포,강원특별자치도 양구군 방산면 장평리,033-480-7204,개별 문의처,38.21111919,127.9687438,,
청춘양구레포츠공원,강원특별자치도 양구군 양구읍 박수근로 366-24,033-480-2586,개별 문의처,38.09207092,127.9840759,,
파로호(양구),강원특별자치도 양구군 양구읍 하리 545,033-480-2251,지자체 대표번호,38.12746056,127.9839603,http://tong.visitkorea.or.kr/cms/resource/51/2653651_image2_1.jpg,
파서탕,강원특별자치도 양구군 방산면 오미리,033-480-2251,지자체 대표번호,38.18908999,127.9094216,http://tong.visitkorea.or.kr/cms/resource/98/2566598_image2_1.jpg,
팔효자각,강원특별자치도 양구군 양구읍 송청리,033-480-2251,지자체 대표번호,38.09366109,127.998681,http://tong.visitkorea.or.kr/cms/resource/38/172238_image2_1.jpg,
펀치볼지구전투전적비,강원특별자치도 양구군 동면 팔랑리,033-480-2251,지자체 대표번호,38.21939892,128.0834545,,
피의능선전투전적비,강원특별자치도 양구군 동면 월운리,033-480-2251,지자체 대표번호,38.23711934,128.0324247,,
필리핀군 전투전적비,강원특별자치도 양구군 남면,033-480-2251,지자체 대표번호,38.10847813,128.03457,http://tong.visitkorea.or.kr/cms/resource/77/2566477_image2_1.jpg,
한반도섬,강원특별자치도 양구군 양구읍 한반도섬길 76,033-480-7267,개별 문의처,38.13061419,127.9827628,,
한반도섬 자연습지,강원특별자치도 양구군 양구읍 한반도섬길 76,033-480-7267,개별 문의처,38.13061419,127.9827628,,
한반도섬전망대,강원특별자치도 양구군 양구읍 동수리 산1-1,033-480-7267,개별 문의처,38.12858472,127.9709411,,
해안분지 (국가지질공원),강원특별자치도 양구군 해안면 해안서화로 35,033-480-2251,지자체 대표번호,38.29008473,128.1455706,http://tong.visitkorea.or.kr/cms/resource/37/2616537_image2_1.bmp,"추가연락가능번호 : 031-940-5282, 031-940-5283"
후곡약수터,강원특별자치도 양구군 동면 후곡리,033-480-2251,지자체 대표번호,38.16948851,128.0552599,http://tong.visitkorea.or.kr/cms/resource/14/1841514_image2_1.jpg,
DMZ산림두드림센터,강원특별자치도 양구군 양구읍 박수근로 367,033-481-9034,개별 문의처,38.10408196,127.9812944,,
DMZ펀치볼둘레길,강원특별자치도 양구군 해안서화로 23,033-481-8588,개별 문의처,38.29055602,128.1441802,http://tong.visitkorea.or.kr/cms/resource/21/1841521_image2_1.jpg,
고대산,경기도 연천군 신서면,031-834-2200,개별 문의처,38.18296678,127.1070379,http://tong.visitkorea.or.kr/cms/resource/97/1859997_image2_1.jpg,
동아실계곡,강원특별자치도 인제군 남면 남전리,033-460-2170,지자체 대표번호,38.00639409,128.1578082,,
그리팅맨,경기도 연천군 군남면 옥계리,031-839-2061,지자체 대표번호,38.11748555,127.0457099,http://tong.visitkorea.or.kr/cms/resource/60/2841260_image2_1.jpg,
당포성,경기도 연천군 미산면 동이리 778,031-839-2144,지자체 대표번호,38.02350322,126.9854183,http://tong.visitkorea.or.kr/cms/resource/19/2369319_image2_1.jpg,
동막골 응회암,경기도 연천군 연천읍 동막리,031-839-2144,지자체 대표번호,38.10473942,127.1107136,http://tong.visitkorea.or.kr/cms/resource/48/2616248_image2_1.bmp,
동막골유황천,경기도 연천군 연천읍 동막로25번길 181,031-834-7000,개별 문의처,38.08947709,127.0810508,http://tong.visitkorea.or.kr/cms/resource/37/2735337_image2_1.JPG,
들꽃가람농장,경기도 연천군 전곡읍 청연로 192,,개별 문의처,38.04553486,127.1117156,,
모아베리교육농장,경기도 연천군 황지로55번길 45-1,031-835-7975,개별 문의처,38.03303578,127.0380917,http://tong.visitkorea.or.kr/cms/resource/01/2966301_image2_1.jpg,
백의리층,경기도 연천군 연천읍 고문리 212,031-839-2144,지자체 대표번호,38.06255344,127.1204621,http://tong.visitkorea.or.kr/cms/resource/88/2616488_image2_1.bmp,
상승OP(제1땅굴),경기도 연천군 백학면 백령리,031-839-2144,지자체 대표번호,38.04124567,126.9050024,http://tong.visitkorea.or.kr/cms/resource/30/2007030_image2_1.JPG,
새둥지마을,경기도 연천군 백학면 노아로491번길 86,031-835-7345,개별 문의처,38.00638302,126.9599522,http://tong.visitkorea.or.kr/cms/resource/02/2632702_image2_1.bmp,
승전OP,경기도 연천군 장남면 고랑포리,031-839-2144,지자체 대표번호,37.98463819,126.8308177,http://tong.visitkorea.or.kr/cms/resource/48/2563648_image2_1.jpg,
신탄리역,경기도 연천군 신서면 고대산길 4,031-834-8887,개별 문의처,38.21280532,127.1389751,http://tong.visitkorea.or.kr/cms/resource/42/2566642_image2_1.jpg,
애심목장,경기도 연천군 연천읍 와초길 10-36,031-834-3601,개별 문의처,38.14286403,127.0926159,http://tong.visitkorea.or.kr/cms/resource/76/1937676_image2_1.jpg,
역고드름,경기도 연천군 신서면 평화로 3282-76,031-839-2144,지자체 대표번호,38.11576125,127.089958,http://tong.visitkorea.or.kr/cms/resource/76/2735276_image2_1.jpg,
연강갤러리,경기도 연천군 중면 군중로 885,031-839-2066,개별 문의처,38.11788266,126.9871144,http://tong.visitkorea.or.kr/cms/resource/52/2566652_image2_1.jpg,
연천 경순왕릉,경기도 연천군 장남면 장남로 288,031-839-2143,개별 문의처,37.99070771,126.8428012,http://tong.visitkorea.or.kr/cms/resource/23/1049223_image2_1.jpg,
연천 나룻배마을,경기도 연천군 왕징면 북삼로 98,031-833-5005,개별 문의처,38.0955822,127.0036873,,
연천 숭의전지,경기도 연천군 미산면 숭의전로 382-27,031-839-2143,개별 문의처,38.02232177,126.9604694,http://tong.visitkorea.or.kr/cms/resource/45/2481845_image2_1.jpg,
연천 옥계마을,경기도 연천군 군남면 군중로 36-10,031-835-2550,개별 문의처,38.13365416,127.00102,http://tong.visitkorea.or.kr/cms/resource/62/2481862_image2_1.jpg,
리빙스턴교,강원특별자치도 인제군 인제읍 합강리,033-460-2080,지자체 대표번호,38.08963399,128.1793047,,
연천 초성김치마을,경기도 연천군 청산면 평화로 209,031-835-0381,개별 문의처,37.99296794,127.069111,http://tong.visitkorea.or.kr/cms/resource/74/626574_image2_1.jpg,
연천 호로고루,경기도 연천군 장남면 원당리,031-839-2144,지자체 대표번호,37.98547211,126.8786975,http://tong.visitkorea.or.kr/cms/resource/76/2481876_image2_1.jpg,
연천로하스파크,경기도 연천군 군남면 군중로 134,031-839-4099,개별 문의처,38.13103775,127.0450572,http://tong.visitkorea.or.kr/cms/resource/52/2735352_image2_1.JPG,
연천양조장,경기도 연천군 삼왕로 240,031-833-3775,개별 문의처,38.08330689,127.0414886,http://tong.visitkorea.or.kr/cms/resource/62/2966162_image2_1.jpg,
연천역 급수탑,경기도 연천군 연천읍 연천로 273-7,031-839-2144,지자체 대표번호,38.09483197,127.0737681,http://tong.visitkorea.or.kr/cms/resource/62/2566662_image2_1.jpg,추가연락가능번호 : 033-480-2230(양구군청)
연천전곡리유적,경기도 연천군 연천읍 양연로 1510,031-839-2561,개별 문의처,38.01564838,127.0614526,http://tong.visitkorea.or.kr/cms/resource/35/2927035_image2_1.jpg,
연천향교,경기도 연천군 연천읍 지혜로117번길 20,031-839-2144,지자체 대표번호,38.09630253,127.0688774,,
열두개울,경기도 연천군 청산면 청신로 345,031-839-2144,지자체 대표번호,37.98809101,127.0937273,,
열쇠전망대,경기도 연천군 신서면 동내로 1375-1,031-839-2144,지자체 대표번호,38.1225746,127.1318239,http://tong.visitkorea.or.kr/cms/resource/91/2481891_image2_1.jpg,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
은대리 판상절리와 습곡구조,경기도 연천군 전곡읍 은대리,031-839-2144,지자체 대표번호,38.04624779,127.0688515,http://tong.visitkorea.or.kr/cms/resource/97/2616497_image2_1.bmp,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
임장서원,경기도 연천군 연천읍 동막로25번길 170,031-839-2565,지자체 대표번호,38.09262253,127.0811984,http://tong.visitkorea.or.kr/cms/resource/32/2717732_image2_1.jpg,
임진강 주상절리,경기도 연천군 미산면 동이리,031-839-2144,지자체 대표번호,38.01563649,127.0021045,http://tong.visitkorea.or.kr/cms/resource/83/2566683_image2_1.jpg,
임진강댑싸리공원,경기도 연천군 중면 삼곶리,031-839-2709,지자체 대표번호,38.13701387,127.0187433,http://tong.visitkorea.or.kr/cms/resource/18/2841218_image2_1.jpg,
임진강평화습지원,경기도 연천군 중면 횡산리 224,031-839-2061,지자체 대표번호,38.11896773,126.9872614,http://tong.visitkorea.or.kr/cms/resource/54/2563654_image2_1.jpg,
자유로CC,경기도 연천군 백학면 노아로297번길 179-55,031-832-7022,개별 문의처,37.99280703,126.9529699,http://tong.visitkorea.or.kr/cms/resource/27/2754427_image2_1.jpg,
재인폭포,경기도 연천군 연천읍 부곡리 192,031-839-2144,지자체 대표번호,38.07712892,127.1426931,,
재인폭포 출렁다리,경기도 연천군 연천읍 고문리,031-839-2144,지자체 대표번호,38.07224104,127.1150454,http://tong.visitkorea.or.kr/cms/resource/38/2843938_image2_1.jpg,
전곡리 유적 토층,경기도 연천군 전곡읍 양연로 1510,031-839-2561,개별 문의처,38.01564838,127.0614526,http://tong.visitkorea.or.kr/cms/resource/60/2616260_image2_1.bmp,
전곡역,경기도 연천군 전곡읍 전곡역로 75,1588-7788,개별 문의처,38.0245936,127.0713335,http://tong.visitkorea.or.kr/cms/resource/92/2690592_image2_1.jpg,
조선왕가,경기도 연천군 연천읍 현문로 339-10,031-834-4343,개별 문의처,38.06266975,127.1060662,http://tong.visitkorea.or.kr/cms/resource/49/2482749_image2_1.jpg,
좌상바위,경기도 연천군 전곡읍 신답리,031-839-2144,지자체 대표번호,38.04844414,127.1013459,http://tong.visitkorea.or.kr/cms/resource/93/2616493_image2_1.bmp,
태풍전망대,경기도 연천군 중면 횡산리,031-839-2144,지자체 대표번호,38.12293335,126.9753072,,"추가연락가능번호 : 031-940-5282, 031-940-5283"
푸르내마을,경기도 연천군 청산면 청연로 30-62,031-833-5299,개별 문의처,38.04781293,127.1101845,http://tong.visitkorea.or.kr/cms/resource/22/2566722_image2_1.jpg,
한반도통일미래센터,경기도 연천군 전곡읍 남계로 408,031-956-8500,개별 문의처,38.00165085,127.008114,http://tong.visitkorea.or.kr/cms/resource/32/2566732_image2_1.jpg,
한탄강 관광지,경기도 연천군 전곡읍 선사로 76,031-833-0030,개별 문의처,38.00887699,127.0588604,,
한탄강어린이교통랜드,경기도 연천군 전곡읍 선사로 14-71,031-833-0514,개별 문의처,38.01086977,127.0729606,http://tong.visitkorea.or.kr/cms/resource/17/2754017_image2_1.jpg,
허브빌리지,경기도 연천군 왕징면 북삼로20번길 55,031-833-5100,개별 문의처,38.0887061,127.004881,http://tong.visitkorea.or.kr/cms/resource/39/2393439_image2_1.jpg,
1.21 무장공비 침투로,경기도 연천군 장남면 반정리 294,031-839-2144,지자체 대표번호,37.9701838,126.8280738,http://tong.visitkorea.or.kr/cms/resource/72/2690272_image2_1.jpg,
38선마을,경기도 연천군 백학면 노곡로42번길 5,031-835-1124,개별 문의처,37.99531516,126.9236471,http://tong.visitkorea.or.kr/cms/resource/87/2690587_image2_1.jpg,
가야동계곡,강원특별자치도 인제군 북면 용대리,033-460-2080,지자체 대표번호,38.18965515,128.3629891,,
가족올래 하추리마을,강원특별자치도 인제군 인제읍 하추로 187,070-4404-4481,개별 문의처,38.01962892,128.2817802,http://tong.visitkorea.or.kr/cms/resource/24/2633024_image2_1.bmp,
고로쇠마을(미산마을),강원특별자치도 인제군 상남면 미산리,033-463-9036,개별 문의처,37.86185937,128.3388431,http://tong.visitkorea.or.kr/cms/resource/87/1671387_image2_1.jpg,
고원통계곡,강원특별자치도 인제군 서화면 서흥리,033-460-2080,지자체 대표번호,38.2050955,128.2339967,http://tong.visitkorea.or.kr/cms/resource/15/182115_image2_1.jpg,
광주동솔밭,강원특별자치도 인제군 상남면 하남리 882,033-460-2080,지자체 대표번호,37.89922039,128.2762699,http://tong.visitkorea.or.kr/cms/resource/18/1842018_image2_1.jpg,
구만동계곡,강원특별자치도 인제군 북면 용대리,033-460-2080,지자체 대표번호,38.18965515,128.3629891,,
