이름,주소,전화번호,위도,경도
카페모네,"경기도 김포시 김포대로 1430, 103호 (운양동, 한강신도시리버에일린의뜰)",,37.65337795,126.6734283
미학커피,경기도 연천군 미산면 청정로755번길 104,,38.04307495,126.9361408
미담(米담),"경기도 파주시 한빛로 20, 상가1동 109호 (야당동, 롯데캐슬 파크타운 Ⅱ)",,37.71049104,126.7555236
스타벅스 김포걸포점,"경기도 김포시 걸포2로 83, 161~167호 (걸포동, 한강메트로자이1단지)",,37.6331164,126.7010503
크로체,"경기도 김포시 김포한강1로78번길 32-45, 102호 (장기동)",,37.64404298,126.6714768
바이츠카페,"경기도 김포시 김포한강8로 416, 406호 (구래동)",070-5227-3068,37.64280685,126.6227753
MORRO COFFEE(모로커피),"경기도 김포시 양촌읍 황금3로 89, 학운프라자 120,121호",,37.61103266,126.6187142
투데이 커피,"경기도 김포시 고촌읍 장차로 23, 길훈아파트 상가 102호",,37.60409355,126.7705321
찬달제과,"경기도 김포시 통진읍 김포대로2250번길 23-14, 소망마을제상가동 1층 101호",,37.69140162,126.5968317
커피너스,경기도 연천군 연천읍 연천로252번길 3,,38.09937554,127.0747912
메가커피 파주경찰서점,"경기도 파주시 쇠재2길 4, 1층일부 (금릉동)",,37.75284714,126.7778865
스윗먼스(SWEET MONTH),"경기도 파주시 문산읍 방촌로 1695-45, 102-2호",,37.81874169,126.7224131
Boratte(보라떼),"경기도 김포시 양촌읍 양곡2로30번길 51-15, 1층 일부호",,37.6539733,126.6301987
크리미(Creamy),"경기도 김포시 김포한강4로 130-7, 2층 201호 (장기동)",,37.65151619,126.6514586
오월cafe(카페),"경기도 김포시 대곶면 대명항로 247-1, 1층 일부호",031-988-4966,37.64869112,126.5785318
커피월드,"경기도 김포시 태장로 789, 1층 142호 (장기동)",,37.63816878,126.6801412
메가엠지씨커피 파주연풍삼거리점,"경기도 파주시 파주읍 술이홀로 477, 1층 2호",,37.82932923,126.8400934
발도스커피 구래역점,"경기도 김포시 김포한강4로 487, 판매시설동 1층 1031호 (구래동, 한강신도시 반도유보라 4차)",,37.64639789,126.6295163
경인 커피머신수리 카페지원서비스,"경기도 김포시 관순로26번길 50, 1동 1층 102호 (사우동, 예가지움3차)",,37.62126166,126.7121542
메가엠지씨커피 운정이마트점,"경기도 파주시 미래로 371, 씨티타워 109호 (동패동)",031-943-7859,37.71109414,126.7458457
이디야 장기제일점,"경기도 김포시 태장로795번길 23, 김포 마스터비즈파크 1층 R108, R109호 (장기동)",,37.6378692,126.6809027
마임하임카페(MAIMHAIMCAFE),"경기도 파주시 문산읍 당동2로 95, 1층",,37.86797751,126.7741794
CAFE도,"경기도 김포시 김포한강1로78번길 6-9, 1층 (장기동)",,37.64404298,126.6714768
할리스커피 김포한강생태공원점,"경기도 김포시 김포한강11로 452, 1,2층 (운양동)",031-996-2000,37.65370699,126.6982626
쥬와,"경기도 김포시 김포한강11로 288-37, 110호 (운양동)",,37.65380554,126.6775181
카페 우먼,경기도 연천군 전곡읍 은전로86번길 83-6,,38.02645692,127.0699373
던킨도너츠 파주임진각점,"경기도 파주시 문산읍 임진각로 148-73, 14동 2층 일부",,37.88866503,126.7492897
컴포즈커피(운정이마트점),"경기도 파주시 미래로 375, 삼성메디컬 프라자 108호 (동패동)",,37.71140391,126.7458517
메가엠지씨커피김포호수초점,"경기도 김포시 김포한강4로420번길 88, 110호 (구래동)",031-986-7225,37.65064515,126.6332214
커피(COFFEE) 하루,"경기도 김포시 봉화로182번길 42, 산호아파트 상가동 1층 109호 (북변동)",,37.62909072,126.7038017
스카이랩커피,"경기도 김포시 양촌읍 양곡3로1번길 74, 1층",,37.65536072,126.6298274
그루터기,"경기도 파주시 숲속노을로 265, 토우프라자 606호 (문발동)",,37.72413583,126.7112016
디플랫,"경기도 파주시 회동길 446, 1층 (문발동)",070-4155-0303,37.72023916,126.6945845
츄카츄카,"경기도 김포시 월곶면 용강로 19, 1층",,37.72086938,126.5572899
할리스커피 김포시청점,"경기도 김포시 김포대로 847, 중앙프라자 105, 204호 (사우동)",,37.61969658,126.7196475
커피에반하다김포감정점,"경기도 김포시 중봉1로 17, 1층 102호 (감정동)",031-988-8869,37.62333173,126.6993867
카페 에스쁘아 중앙도서관점,"경기도 파주시 쇠재로 33, 파주시립중앙도서관 5층 (금촌동)",031-949-3620,37.75001951,126.7707148
포비든플레이스,"경기도 파주시 군내면 적십자로 139, 1층 일부",,37.8954467,126.7322689
카페239,"경기도 파주시 탄현면 새오리로 239, 1층",,37.80392566,126.6888153
드루와(D.ruwa),"경기도 김포시 김포한강7로22번길 174-21, 101호 (마산동)",031-989-8122,37.64087795,126.6361757
정성을담아 김포장기점,"경기도 김포시 김포한강1로78번길 6-13, 101호 (장기동)",,37.64404298,126.6714768
COFFEE ZIP(커피집),"경기도 김포시 김포한강9로76번길 63, 104호 (구래동)",,37.64538208,126.6268132
캐디로,"경기도 김포시 통진읍 동을산로143번길 73, 1층 전체호",,37.70344974,126.6241584
스타벅스 풍무사거리DT점,"경기도 김포시 풍무로 137, 1~3층 전체호 (풍무동)",1522-3232,37.6078263,126.7227901
컴포즈커피 김포사우점,"경기도 김포시 사우중로 82, 사우프라자 1층 117~119호 (사우동)",,37.62172257,126.7211832
cafe안녕하루,"경기도 파주시 탄현면 검산로519번길 48-28, 1층",,37.80279009,126.7270831
메가엠지씨커피 파주한빛마을점,"경기도 파주시 와석순환로 72, 홍원프라자 1층101호 (야당동)",,37.71064475,126.7512603
해동1950,"경기도 김포시 북변중로 53, 1층 일부호 (북변동)",,37.62604,126.7106314
메가엠지씨커피 김포전원마을점,"경기도 김포시 김포한강11로 133, 중앙프라자 1층 101호 (운양동)",,37.64576542,126.6813809
공차 파주금촌점,"경기도 파주시 중앙로 318-1, 1층 (금촌동)",,37.75377699,126.7852067
도르레,"경기도 김포시 김포대로 841, 제우스프라자 108호 (사우동)",,37.61953666,126.7200287
주식회사 더블유카워시 김포점,"경기도 김포시 양촌읍 김포한강10로 260, 1층 일부호",,37.65048225,126.6187286
컵오브커피 문산사거리점,"경기도 파주시 문산읍 통일로 1700, 나동 1층",,37.85925444,126.7898525
준커피(JUN coffee),"경기도 김포시 돌문로 92-1, 1층 일부호 (사우동)",,37.61980876,126.7168978
아띠공방,"경기도 파주시 쇠재개울길 62-6, 1층 (금릉동)",031-949-2555,37.7503731,126.7800077
좋은소나무(fine pine),"경기도 파주시 조리읍 장곡로 104, 1동 1층 일부",,37.74987382,126.8436969
카페 이니스,"경기도 김포시 김포한강3로 290-18, 고창마을이니스더원 810동 1층 101호 (장기동)",,37.64256179,126.657267
영롱디저트,"경기도 김포시 풍무로146번길 32, 107호 (풍무동)",,37.60751603,126.7252302
카페 로아,"경기도 김포시 고촌읍 풍굴로92번길 5, 1층",,37.61277802,126.7576574
홍카페,"경기도 김포시 통진읍 대곶북로 282, 105호",,37.6708252,126.5776767
이디야커피 김포통진점,"경기도 김포시 통진읍 조강로 82, 1층 일부호",,37.69257711,126.5978064
메가엠지씨커피 김포은여울점,"경기도 김포시 김포한강8로 173-88, 근린생활시설 A동 111호 (마산동, 한강신도시 동일스위트 더파크뷰 1단지)",031-981-9991,37.64144019,126.6432951
더벤티 초롱꽃마을점,"경기도 파주시 초롱꽃로 130, B동 지2층 B-B212호 (동패동, 파주운정신도시 디에트르 더 퍼스트)",,37.71097273,126.7195525
카페 몽슈슈 김포고촌점,"경기도 김포시 고촌읍 김포대로 337, 102호",031-988-0789,37.60070254,126.770365
오늘도 마음애-김포시장애인복지관 카페 4호점,"경기도 김포시 김포한강7로22번길 174-6, 마산도서관 3층 일부호 (마산동)",,37.64087795,126.6361757
더벤티 운정역점,"경기도 파주시 와석순환로515번길 61, 송림메디컬프라자 103호 (와동동)",,37.72698193,126.7631882
카페샘,"경기도 김포시 김포한강2로 142, 초당마을주공아파트 상가동 101호 (장기동)",031-984-0966,37.64118139,126.6685532
컴포즈커피 김포고촌보름초점,"경기도 김포시 고촌읍 수기로 109, 111호",,37.59384607,126.7639539
봉명동내커피,"경기도 김포시 김포한강4로 507, 123호 (구래동)",,37.6461192,126.6275368
죽림다원,"경기도 파주시 광탄면 보광로 761-58, 1층",,37.78945981,126.8673358
달리는커피 금름점,"경기도 파주시 금빛로 12, 삼성프라자 109호 (금촌동)",,37.75113247,126.7672212
등원리 7-4 부동산카페,"경기도 파주시 조리읍 등원로91번길 5, 2동 1층",,37.76152365,126.8092318
앳튠,"경기도 파주시 문산읍 당동1로 39-27, 1층",,37.8643592,126.7723963
그리고 소풍,"경기도 김포시 월곶면 문수산로 242, 1층 일부호",,37.74957158,126.5356633
진정커피,"경기도 파주시 교하로159번길 21, 104호 (목동동)",,37.72321823,126.7389991
지파운데이션 나눔가게&커피,"경기도 김포시 김포한강7로 93, 월드에비뉴주차빌딩 1층 108호 (구래동)",031-986-2052,37.64570722,126.6278049
데이 데이(DAY DAY),"경기도 연천군 백학면 청정로 186, 3호",,38.00202633,126.9181049
CR(씨알)커피 강화대교점,"경기도 김포시 월곶면 김포대로 2994, 2층",031-997-7193,37.72801539,126.5346451
데니스커피(김포구래점),"경기도 김포시 김포한강8로 420, 에이스프라자 103호 (구래동)",,37.64269744,126.6222019
하이오커피 파주교하점,"경기도 파주시 청석로 264, 101호 (동패동)",,37.72558371,126.7182868
카테나치오,"경기도 김포시 고촌읍 태리로 261-18, 1층 101호",,37.59955779,126.7508864
탐앤탐스 교하심학산점,"경기도 파주시 산남로231번길 17-1, 2,3층 (산남동)",031-943-7203,37.6997608,126.7080233
카페게이트 김포호수초점,"경기도 김포시 김포한강4로420번길 98, 율곡스퀘어 한강리더스 111호 (구래동)",,37.65057005,126.6327122
카페모임(Cafe Moim),"경기도 김포시 사우중로3번길 13-12, 1층 104호 (사우동)",,37.61671517,126.7147422
와드커피 김포장기점,"경기도 김포시 김포한강1로 55, 이솔빌딩 104-1호 (장기동)",,37.64344188,126.6681409
제이제곱에프앤비(J²F&B),"경기도 김포시 김포한강9로 121, 1동 1층 101 일부호 (구래동)",,37.64756671,126.6248613
디저트39 파주다율점,"경기도 파주시 청암로 75, 상상메디컬프라자 109호 (다율동)",,37.73482197,126.7330358
글로드커피,"경기도 김포시 봉화로 17-23, 102 일부호 (사우동)",,37.62290594,126.7088088
더좋은날디저트,"경기도 파주시 청암로17번길 39, 110호 (목동동)",,37.7293806,126.7358504
바빈스커피 김포풍무점,"경기도 김포시 풍무1로 67, 1층 102호 (풍무동)",,37.61074085,126.7322489
봉명동내커피 파주운정점,"경기도 파주시 산내로7번길 25-5, 1층 일부 (목동동)",,37.72265211,126.7399163
하이오커피 운정한빛마을점,"경기도 파주시 와석순환로 82, 대흥프라자 102호 (야당동)",,37.7113214,126.7504593
컴포즈커피 파주운정초롱초교점,"경기도 파주시 양지로 123, 진영프라자 101호 (동패동)",,37.70967349,126.7226236
cafe(카페)쉼,"경기도 김포시 통진읍 김포대로 2096-33, 1층 일부호",,37.66173531,126.6638307
카페홈즈 김포구래점,"경기도 김포시 김포한강9로75번길 158, 이편한세상시티한강신도시 A동 1층 104호 (구래동)",,37.64472416,126.6234602
달달해(DALDALHAE),"경기도 김포시 김포한강1로 129, 상가동 1층 107호 (장기동, 김포한강신도시 범양레우스라세느)",,37.64968637,126.6717083
아트살롱파주(크레커스),"경기도 파주시 돌곶이길 131, 1층 일부, 2층 전체 (서패동)",,37.71263233,126.694714
자유로멍놀러와 애견테마파크,"경기도 파주시 탄현면 자유로 3810-107, 1층",,37.81807143,126.6864912
소리천카페,"경기도 파주시 소리천로 71, 1,2층 (와동동)",,37.71911172,126.7624884
메가엠지씨커피 김포마송사거리점,"경기도 김포시 통진읍 조강로 75, 1층 전체호",,37.69194751,126.5980979
파란만잔 파주운정점,"경기도 파주시 경의로1240번길 14-5, 송림로데오프라자 108,109호 (와동동)",,37.72804405,126.7624119
카페 슬로,"경기도 파주시 와석순환로 500, 유비파크 C동 1층 (와동동)",,37.72288181,126.7600325
이가커피,"경기도 김포시 양촌읍 양곡2로60번길 65, 1층 전체호",,37.65784979,126.6301807
카페 37.5,"경기도 김포시 모담공원로 180, 1동 2층 전체호 (운양동)",,37.64712367,126.6978942
(달콤한선택)Sweet_pick_up,"경기도 파주시 와석순환로 87, 206호 (야당동, 한빛마을6단지)",,37.70877229,126.7495282
"카페,소신","경기도 김포시 양촌읍 황금1로 76, 양촌카리스프라자 119(일부),120(전부)호",,37.6139896,126.6195496
카페1.5도,경기도 연천군 전곡읍 은전로 75-24,,38.02785461,127.0662062
주식회사인그래인,경기도 김포시 월곶면 비석동로27번길 140,031-987-0330,37.70719695,126.5648913
디저트39 파주운정산내점,"경기도 파주시 청암로17번길 59, 209, 210호 (목동동)",,37.72859524,126.7341331
카페르고 본점,"경기도 김포시 김포한강9로75번길 10, 8층 804호 (구래동)",,37.64372504,126.6250929
108street(108스트리트),"경기도 김포시 김포한강4로 8, 라베니체마치에비뉴4 2층 222호 (장기동)",,37.63949322,126.6785809
올리브앤피스,"경기도 김포시 북변중로65번길 15, 1층 전체호 (북변동)",,37.62630217,126.7100037
티트로,"경기도 파주시 가재울로94번길 50, 1층 일부 (목동동)",,37.73049884,126.7471268
장단콩카페,"경기도 파주시 파주읍 가마울길 50-16, 2층일부",031-954-1236,37.81925396,126.8259999
커피팩토리 운정,"경기도 파주시 청암로48번길 16-13, 1층 (목동동)",,37.73332898,126.7363627
모모타코&캔카페,"경기도 김포시 유현로33번길 73, 근린생활시설동 1층 103-1호 (풍무동, 김포 풍무 꿈에그린 더 포레듀 4단지)",,37.60050982,126.7249005
투썸플레이스 김포통진점,"경기도 김포시 통진읍 김포대로 2234, 1층 전체호",,37.69025384,126.5981166
메가엠지씨커피 김포마송공원점,"경기도 김포시 통진읍 마송1로84번길 90, 1층 102호",,37.68856084,126.5972745
이디야(EDIYA) 파주시청점,"경기도 파주시 금정로 41, 1층일부 (금촌동)",,37.75869697,126.7752493
하이오커피 파주산내점,"경기도 파주시 청암로17번길 27, 103호 (목동동)",031-935-4755,37.72883451,126.7355601
커피파머,"경기도 김포시 김포한강4로 8, 라베니체4차 1층 125호 (장기동)",,37.63949322,126.6785809
파스쿠찌 김포우리병원1층,"경기도 김포시 감암로 11, 김포우리병원 신관동 1층 일부호 (걸포동)",,37.63299811,126.7105568
파스쿠찌 김포우리병원2층,"경기도 김포시 감암로 11, 김포우리병원 신관동 2층 일부호 (걸포동)",,37.63299811,126.7105568
다정원,"경기도 파주시 문산읍 문산로26번길 13, 101상가동 1층 2-15호 (문산호수아파트)",,37.85672838,126.7829592
카페숲:sup(cafe숲:sup),"경기도 파주시 탄현면 헤이리마을길 93-108, 2층",031-944-0214,37.78809894,126.69811
엠앤에스(주),"경기도 파주시 광탄면 혜음로 995, 1동 일부호",,37.77230966,126.8494396
서다,"경기도 연천군 청산면 학담로 92, 1층",,37.99705821,127.0723237
926 베이글(926 BAGEL),"경기도 파주시 송학1길 83, 101호 (야당동)",,37.71332436,126.7630835
파하르커피(pahar coffee),"경기도 파주시 파주읍 충현로 43-35, 2층",,37.85451489,126.7999323
메가후르츠,"경기도 파주시 문산읍 문향로67번길 2, 1층 일부",,37.85814353,126.7850367
와이키키커피전문점,"경기도 파주시 와석순환로172번길 7-33, 106호 일부 (동패동)",,37.71458492,126.7417673
퐁주르,"경기도 김포시 걸포1로 40, 1층 105호 (걸포동, 한강파크뷰 우방아이유쉘)",,37.63518749,126.7070128
커피리,"경기도 김포시 북변1로16번길 19-31, 1층 일부호 (북변동)",070-4453-3210,37.62814156,126.7042095
플로리안카페,경기도 김포시 사우중로 8 (사우동),031-981-3858,37.61617567,126.7167274
플럼라인,"경기도 파주시 문발로 165, 플럼라인 1층 (문발동)",,37.70940882,126.6853503
메가엠지씨커피 운정힐스테이트점,"경기도 파주시 교하로 100, 940동 105호 (목동동, 힐스테이트 운정)",,37.72397679,126.7351753
헐크워시 파주점,"경기도 파주시 청석로 395, 1층 (다율동)",,37.73658477,126.7178951
메가엠지씨커피 파주교하점,"경기도 파주시 청석로 264, 1층 102호 (동패동)",031-945-8884,37.72558371,126.7182868
워시스퀘어,"경기도 파주시 경의로 974, 1층 전부 (야당동)",031-948-5287,37.7038156,126.7600171
커피에반하다(엘지로점),"경기도 파주시 월롱면 엘지로 348, 1층일부(101호)",031-949-4427,37.81535084,126.7624571
어바웃레스트,"경기도 파주시 평화로 370-17, 1층 (검산동)",,37.772565,126.7288126
이디야,"경기도 파주시 조리읍 통일로 43, 1층일부",,37.73115763,126.8354089
CAFE K,경기도 연천군 연천읍 연천역로 14-1,031-834-3636,38.10112126,127.0780891
효담원,"경기도 김포시 양촌읍 오니산로 217-1, 1층 일부호",,37.66449935,126.6103639
브런치 알라,"경기도 연천군 전곡읍 음터길 6, 2층",,38.02825317,127.0559923
세라비한옥카페,경기도 연천군 군남면 군중로 132,,38.13052941,127.0444607
카프커피로스터스,"경기도 김포시 양촌읍 양곡2로60번길 28-28, 1층 102호",,37.6567894,126.6292548
더벤티 문산점,"경기도 파주시 문산읍 문향로 30, 1동 1층 4호",031-953-3008,37.85471681,126.7864023
플레이스(PLACE),"경기도 파주시 금빛로 27, 광장프라자 114호 일부 (금촌동)",031-946-0149,37.75225852,126.7662766
코너스톤(corner stone),"경기도 김포시 김포한강11로255번길 69, ㈜DT 1층 (운양동)",,37.65692154,126.6779338
달꿈카페 양촌점,"경기도 김포시 양촌읍 양곡3로1번길 94, 1층 일부호",,37.65498643,126.6287594
공차(김포사우역점),"경기도 김포시 사우중로 78, 밀레니엄프라자 108호, 109호 (사우동)",031-988-3090,37.62133809,126.7209071
막스시오카페,"경기도 파주시 돌곶이길 116, 1층 (서패동)",,37.71369938,126.6948651
셀렉토 파주산내점,"경기도 파주시 교하로 75, 신운정프라자3 104호 (목동동)",,37.72855617,126.7332272
투썸플레이스김포신곡점,"경기도 김포시 고촌읍 수기로 115, 108,204,205호",031-992-7777,37.59347182,126.7636061
카페휴리스(cafe huriss),"경기도 김포시 대곶면 대명항로 337, 1층 일부호",,37.64723776,126.5843762
아지트(AZIT),"경기도 파주시 법원읍 술이홀로 913, 1층",,37.85198216,126.8752769
서울커피 파주점,"경기도 파주시 문발로 284, 롯데프리미엄아울렛 B동 1층 일부 (문발동)",,37.71809262,126.6925491
컴포즈커피(파주교하점),"경기도 파주시 청석로 264, 1층 107호 (동패동)",,37.72558371,126.7182868
이디야커피 광탄점,"경기도 파주시 광탄면 혜음로 1138, 1층 일부",,37.78277143,126.8466913
MONTCAFE(몬트),"경기도 김포시 김포한강8로148번길 7, 1층 102호 (마산동)",031-998-1764,37.63540985,126.6433867
애플팜페,경기도 연천군 군남면 진상19길 41-36,031-833-4369,38.07061779,127.0143178
오늘도마카롱,"경기도 김포시 김포한강9로 79, 1층 108일부호 (구래동)",,37.64406887,126.6253819
메가엠지씨커피 파주법원사거리점,"경기도 파주시 법원읍 술이홀로 876, 1층",,37.84905314,126.8728926
단골커피,"경기도 파주시 교하로 476, 1층 일부 (동패동)",,37.70491154,126.7262281
디저트 39 김포구래점,"경기도 김포시 김포한강9로75번길 180, 1층 119호 (구래동, 두원타워)",031-986-9440,37.64491617,126.6244803
만랩커피 김포테라비즈타워점,"경기도 김포시 태장로 751, 테라비즈타워 1층 129,131호 (장기동)",,37.64075229,126.6830576
투썸플레이스 연천전곡점,경기도 연천군 전곡읍 전곡로 185,,38.02840687,127.0667013
나무스터디 까페,경기도 연천군 전곡읍 은전로91번길 134 (늘푸른마을4차),031-833-9384,38.03346761,127.0698468
카페게이트 파주운정이마트점,"경기도 파주시 미래로 377, 운정스퀘어 111호 (동패동)",031-946-8939,37.7117619,126.7458661
카페게이트 김포초당마을점,"경기도 김포시 김포한강2로 100, 비호뉴팰리스 1동 1층 104호 (장기동)",,37.63902242,126.6725715
디어봄(Dear봄),"경기도 김포시 태장로 765, 금광테크노밸리 지식산업센터 1층 103, 129호 (장기동)",,37.63984493,126.6822615
샐프레소,"경기도 김포시 중봉1로 85-11, 1층 일부호 (북변동)",,37.6248608,126.702626
느낌이좋아,"경기도 김포시 김포한강1로97번길 32-35, 102호 (장기동)",,37.64894936,126.6707702
실공장1998&나무와,"경기도 파주시 탄현면 법흥로 90, 2동 1층 일부(2호)",070-4610-2386,37.77592752,126.7060972
뉴블레스,"경기도 김포시 풍무1로 61, 대우프라자 1층 105호 (풍무동)",031-998-1530,37.61086264,126.7318792
컴포즈커피 김포풍무역오앤타워점,"경기도 김포시 유현로238번길 26, 106호 (풍무동)",,37.61114423,126.732132
피규어카페,"경기도 김포시 대곶면 약암로 867, 1층 일부호",,37.6318271,126.5528917
카페세로,"경기도 김포시 김포한강9로 95, 101호 (구래동)",,37.6451553,126.6255903
포트레이커피,"경기도 파주시 금빛로 24-21, 보람프라자 3층 303,304호 (금촌동)",,37.75195043,126.7665697
투썸플레이스 김포마산점,"경기도 김포시 김포한강8로 153, 가람프라자 102,103,108호 (마산동)",,37.63622635,126.6427725
포트캔커피 야당점,"경기도 파주시 경의로 1108, 월드타워7차 101호 (야당동)",070-8691-2588,37.71626436,126.7602545
아스텔,"경기도 파주시 독암길 87, 1,2층 (금릉동)",,37.75880484,126.7836405
카페길,"경기도 파주시 파평면 장마루로 88, 1층",,37.93065217,126.8337872
어반그로브(URBAN GROVE),"경기도 파주시 재두루미길 68, 101호 (신촌동)",031-955-1555,37.72864596,126.6903882
즐거운찻집,"경기도 파주시 중앙로 328, 엠에이치타워 6층 604-1호 (금촌동)",,37.76487936,126.7745263
메가엠지씨커피 파주주내삼거리점,"경기도 파주시 파주읍 우계로 65, 1층 일부",,37.83263009,126.8171403
카페개러지 김포점,"경기도 김포시 양촌읍 김포한강4로 288, 나동 1층",,37.65214159,126.6515318
메가엠지씨커피 김포시청점,"경기도 김포시 돌문로 48, 한솔프라자 105,106 일부호 (사우동)",,37.61941456,126.7180546
읍천리382 금촌점,"경기도 파주시 새꽃로 25, 로얄프라자 106,107호 (금촌동)",,37.75221159,126.7683353
컴포즈커피 파주팜스프링점,"경기도 파주시 송화로 11, 팜스프링아파트 상가동 107호 (아동동)",,37.77188842,126.7771431
청이랑디저트랑,"경기도 김포시 김포한강2로23번길 10, 라베니체마치에비뉴Ⅰ 제지하1층 제B119호 (장기동)",031-984-8281,37.64208225,126.678406
디저트39 김포라베니체점,"경기도 김포시 태장로 820-26, 라베니체마치에비뉴8 1층 116호 (장기동)",,37.63715313,126.7164406
메가엠지씨커피 김포신곡점,"경기도 김포시 고촌읍 수기로 109, 1층 116호",,37.59384607,126.7639539
원더커피(WONDER COFFEE),"경기도 파주시 해올로 20, 해오름마을12단지 휴아림 근린생활시설 107호 (다율동)",,37.73566171,126.7298882
카페9번길(Nine Road),"경기도 김포시 풍무로9번길 30, 1층 (풍무동)",,37.59765567,126.7198444
우리,"경기도 파주시 문산읍 독산로31번길 39, 파주고등학교,문산동중학교",,37.85922282,126.7806655
컴포즈커피 파주운정중앙점,"경기도 파주시 경의로1240번길 19, 월드타워15 106호 (와동동)",,37.72885387,126.762249
카페리첸,"경기도 김포시 양촌읍 황금4로 99, 1층 101일부호",,37.61015944,126.6009217
카페266,"경기도 파주시 법원읍 자운서원로 266, 1층 일부",,37.8666484,126.8616682
카페오롯,"경기도 김포시 태장로 823, 104호 (장기동)",031-996-7734,37.63542665,126.6805753
마롱리면사무소,"경기도 파주시 파평면 장승배기로 376-1, D동 1층일부, E동 전체",,37.88335979,126.8149474
젤라또로플,"경기도 파주시 미래로 369-27, 102호 (동패동)",,37.72069943,126.7481306
카페크레모아,경기도 연천군 연천읍 연천로 292,,38.10282919,127.0753588
스튜디오161C.P,"경기도 파주시 탄현면 새오리로161번길 13-29, 3층",,37.79934211,126.6850101
느린여름,"경기도 파주시 가재울로 99-6, 1층 (목동동)",,37.7316036,126.7423798
연금술사작업실협동조합,"경기도 파주시 파주읍 연풍5길 51-1, 1층 일부",031-953-6003,37.82846674,126.8384318
달리는커피(김포구래점),"경기도 김포시 김포한강9로12번길 8-3, 1동 1층 101호 (구래동)",,37.63965812,126.6291734
인하우스(In House),"경기도 파주시 안능안길 365, 1동 1층 (상지석동)",,37.73349948,126.7767349
데일리프룻 (김포풍무점),"경기도 김포시 풍무로 168, 넘버원리치안 118호 (풍무동)",,37.61015154,126.7251653
오리정카페,"경기도 김포시 월곶면 군하로 110, 1층",,37.70379409,126.5606647
수목원카페 베이커리,"경기도 파주시 파평면 장승배기로 392, 관광휴게시설 방문자센터1층일부",,37.89831144,126.8228627
홈즈카페몰,"경기도 파주시 탄현로 144-63, 상가동 1층 101호 (야당동, 자연에가3)",,37.69865033,126.7686757
온더레일,"경기도 파주시 문산읍 임진각로 25, 1층 전부호",,37.88742808,126.7573075
보보(BoBo),"경기도 파주시 청암로 50, 7202동 117호 (목동동, 운정 화성파크드림 시그니처)",,37.73349381,126.7352557
카페 이스터에그,"경기도 파주시 회동길 325-6, 101호 (서패동)",,37.71443475,126.6898552
아가페(AGAFE) 크로플,경기도 연천군 연천읍 연천로260번길 7,,38.10016859,127.0752485
달콤숲,"경기도 김포시 김포한강11로140번길 105, 103호 (운양동)",,37.64782566,126.6827728
크로플덕 오리아가씨 김포장기점,"경기도 김포시 김포한강1로98번길 13, 101 일부호 (장기동)",,37.64613138,126.6720014
메가엠지씨커피 파주선유산단점,"경기도 파주시 파주읍 우계로 338, 1층 102호",,37.85274554,126.805105
씨유 운정애플점,"경기도 파주시 경의로 1218, 월드타워12차 116호 (와동동)",,37.72607284,126.7614419
로스터킴,"경기도 김포시 양촌읍 김포한강4로369번길 83, 2층",031-984-1111,37.64722819,126.6432408
담다,"경기도 김포시 김포한강8로148번길 55, 1층 101호 (마산동)",,37.6356178,126.6452713
(주)헤이리엠,"경기도 파주시 탄현면 헤이리마을길 23, 1층 일부호",,37.78789469,126.69646
아레볼,"경기도 파주시 소라지로 309-12, 1동 1~3층, 2동 1층 (송촌동)",031-949-5678,37.75243279,126.6909977
테그42 파주적성점,"경기도 파주시 적성면 청송로 1063, 1층일부",,37.95622897,126.9227949
크로플각 문산점,"경기도 파주시 문산읍 독서울1길 4, 1층 일부",,37.86548293,126.8044172
투썸플레이스 이마트김포점,"경기도 김포시 김포대로 715, 트레이더스 김포점 1층 (풍무동)",,37.61253777,126.7309004
로드카페,"경기도 파주시 적성면 어삼로 30-1, 1층",,37.99967454,126.9807389
쿼드커피&아이엠도넛 김포장기점,"경기도 김포시 김포한강2로 100, 비호뉴팰리스 101호 (장기동)",,37.63902242,126.6725715
산티아고(SANTIAGO),"경기도 파주시 문산읍 방촌로 1675-22, 뚱발프라자 1층 106호",,37.81874169,126.7224131
카페더숨,"경기도 김포시 김포한강8로218번길 24, 1층 109, 110호 (마산동)",031-981-1259,37.64164572,126.6447648
메가엠지씨 파주신촌산단점,"경기도 파주시 지목로 133, 1동 105호 (신촌동)",031-941-5976,37.7301661,126.7036516
스타벅스 김포마산역점,"경기도 김포시 김포한강8로 172, 엠파워프라자 1동 1층 107~111호 (마산동)",,37.63748416,126.6444264
카페엘린,"경기도 김포시 통진읍 마송1로 74, 김포마송 LH 4단지 아파트 근린생활시설2동 103호",,37.6879085,126.6007888
아리아1968,"경기도 파주시 조리읍 등원로391번길 40, 영산수련원 1,2층",031-934-5555,37.77733845,126.8360533
골드카페,"경기도 파주시 탄현면 평화로 565, A동 1층 일부호",,37.77230361,126.7216933
NTO BAKE HOUSE(앤티오베이크하우스),"경기도 김포시 김포한강7로22번길 174-100, 1층 전체호 (마산동)",,37.64087795,126.6361757
타카플레이카페 파주운정점,"경기도 파주시 해올2길 2, 태산더블유타워 409호, 410호 일부 (다율동)",,37.73407584,126.7304838
빽다방 파주해오름마을점,"경기도 파주시 해올2길 2, 105호 (다율동)",,37.73407584,126.7304838
